ZIP,LAT,LNG
11205,40.694696, -73.966286
11206,40.701954, -73.942358
11207,40.670747, -73.894209
11208,40.669769, -73.871372
11209,40.621982, -74.030324
11210,40.628147, -73.946324
11211,40.712597, -73.953098
11212,40.662936, -73.913029
11213,40.671078, -73.936336
11214,40.599148, -73.996090
11215,40.662688, -73.986740
11216,40.680768, -73.949316
11217,40.682306, -73.978099
11218,40.643468, -73.976046
11219,40.632667, -73.996669
11220,40.641221, -74.016862
11221,40.691340, -73.927879
11222,40.727790, -73.947605
11223,40.597139, -73.973428
11224,40.577372, -73.988706
11225,40.663046, -73.954219
11226,40.646448, -73.956649
11228,40.616695, -74.013047
11229,40.601293, -73.944493
11230,40.622164, -73.965105
11231,40.677916, -74.005154
11232,40.656546, -74.007355
11233,40.678308, -73.919936
11234,40.605080, -73.911721
11235,40.583949, -73.949096
11236,40.639413, -73.900664
11237,40.704160, -73.921139
11238,40.679171, -73.963804
11239,40.647735, -73.879477
11351,40.780747, -73.825301
11354,40.768208, -73.827403
11355,40.751452, -73.821031
11356,40.784850, -73.841279
11357,40.786393, -73.810864
11358,40.760471, -73.796371
11359,40.791781, -73.776875
11360,40.780379, -73.781230
11361,40.764191, -73.772775
11362,40.756574, -73.737845
11363,40.772616, -73.746526
11364,40.745289, -73.760586
11365,40.739634, -73.794490
11366,40.728152, -73.785019
11367,40.730145, -73.827030
11368,40.751718, -73.851822
11369,40.763365, -73.872374
11370,40.765393, -73.893243
11371,40.773894, -73.873475
11372,40.751690, -73.883638
11373,40.738837, -73.878535
11374,40.726418, -73.861526
11375,40.720934, -73.846151
11377,40.744819, -73.905156
11378,40.724744, -73.909639
11379,40.716748, -73.879601
11385,40.700671, -73.889433
11411,40.694021, -73.736216
11412,40.698095, -73.758986
11413,40.671659, -73.752568
11414,40.657604, -73.844804
11415,40.707917, -73.828212
11416,40.684654, -73.849548
11417,40.676446, -73.844443
11418,40.700272, -73.835971
11419,40.688673, -73.822918
11420,40.673583, -73.817730
11421,40.694062, -73.858626
11422,40.660060, -73.736012
11423,40.715606, -73.768471
11424,40.714304, -73.827263
11425,40.607754, -74.023937
11426,40.736425, -73.722376
11427,40.730904, -73.745661
11428,40.721016, -73.742245
11429,40.709766, -73.738653
11430,40.646964, -73.784813
11432,40.715359, -73.793071
11433,40.698162, -73.786893
11434,40.676808, -73.776425
11435,40.701265, -73.809605
11436,40.675807, -73.796622
11451,40.701282, -73.795972
11501,40.746286, -73.638905
11507,40.770847, -73.652260
11509,40.587963, -73.728528
11510,40.650127, -73.607709
11514,40.749892, -73.612477
11516,40.625787, -73.726685
11518,40.637472, -73.666807
11520,40.649401, -73.582951
11530,40.726854, -73.637009
11542,40.872605, -73.628622
11545,40.826321, -73.589365
11547,40.833670, -73.642687
11548,40.812868, -73.627405
11549,40.717289, -73.602775
11550,40.701475, -73.621108
11552,40.692979, -73.652416
11553,40.706430, -73.591622
11554,40.720115, -73.558861
11556,40.719678, -73.583860
11557,40.637176, -73.691976
11558,40.605357, -73.649046
11559,40.603733, -73.717352
11560,40.880757, -73.588724
11561,40.589081, -73.648178
11563,40.657253, -73.673718
11565,40.675061, -73.671667
11566,40.663194, -73.554014
11568,40.786929, -73.596490
11569,40.589785, -73.582303
11570,40.666066, -73.638409
11572,40.631772, -73.636624
11575,40.680422, -73.584877
11576,40.798032, -73.647275
11577,40.783264, -73.638877
11579,40.844016, -73.644006
11580,40.674900, -73.702154
11581,40.651028, -73.715325
11590,40.755182, -73.574338
11596,40.759667, -73.642309
11598,40.630935, -73.712339
11691,40.601278, -73.761651
11692,40.594095, -73.792896
11693,40.590692, -73.809749
11694,40.578270, -73.844762
11697,40.555688, -73.920663
11701,40.682453, -73.414381
11702,40.650697, -73.262218
11703,40.732671, -73.325010
11704,40.717504, -73.358203
11705,40.743277, -73.055841
11706,40.722537, -73.252183
11709,40.906313, -73.558244
11710,40.671972, -73.531972
11713,40.776095, -72.942821
11714,40.742563, -73.486073
11715,40.751006, -73.034877
11716,40.776692, -73.134854
11717,40.783805, -73.252263
11718,40.716435, -73.261514
11719,40.782153, -72.912104
11720,40.870331, -73.082113
11721,40.902425, -73.371427
11722,40.783050, -73.194916
11724,40.864221, -73.456381
11725,40.840492, -73.280815
11726,40.678789, -73.395729
11727,40.882060, -73.004009
11729,40.761136, -73.325260
11730,40.717436, -73.170220
11731,40.862623, -73.316937
11732,40.844738, -73.536885
11733,40.940235, -73.112780
11735,40.732747, -73.432789
11738,40.838199, -73.038213
11739,40.736135, -73.161251
11740,40.865398, -73.361296
11741,40.794895, -73.070328
11742,40.810067, -73.041404
11743,40.883411, -73.423556
11746,40.814268, -73.362276
11747,40.788403, -73.407396
11749,40.806740, -73.170903
11751,40.730486, -73.213924
11752,40.757114, -73.174012
11753,40.789713, -73.539899
11754,40.885566, -73.249901
11755,40.857817, -73.116844
11756,40.724512, -73.516326
11757,40.689010, -73.373328
11758,40.668934, -73.458448
11762,40.682744, -73.446664
11763,40.826582, -72.984050
11764,40.938993, -72.979047
11765,40.882186, -73.558941
11766,40.939219, -73.018666
11767,40.842949, -73.145216
11768,40.923631, -73.339309
11769,40.734348, -73.125025
11770,40.645842, -73.156596
11771,40.872799, -73.525020
11772,40.761780, -72.987407
11776,40.913615, -73.046398
11777,40.956068, -73.066659
11778,40.948046, -72.937093
11779,40.812958, -73.114490
11780,40.909287, -73.174729
11782,40.738088, -73.081670
11783,40.677612, -73.490014
11784,40.868923, -73.041215
11786,40.950485, -72.886658
11787,40.852924, -73.211260
11788,40.818088, -73.213209
11789,40.962028, -72.971008
11790,40.905957, -73.127374
11791,40.828288, -73.505922
11792,40.954997, -72.825588
11793,40.651288, -73.514726
11794,40.913360, -73.124883
11795,40.709005, -73.296337
11796,40.731246, -73.099419
11797,40.820208, -73.472450
11798,40.752599, -73.378743
11801,40.762304, -73.524452
11803,40.781700, -73.473035
11804,40.759010, -73.457384
11901,40.926901, -72.643499
11930,40.989988, -72.099587
11931,40.934273, -72.612403
11932,40.934313, -72.306615
11933,40.942231, -72.765594
11934,40.798359, -72.794297
11935,41.021223, -72.486958
11937,41.013013, -72.168912
11939,41.123116, -72.315350
11940,40.813171, -72.752002
11941,40.830160, -72.729761
11942,40.850303, -72.581827
11944,41.104030, -72.371541
11946,40.870270, -72.521704
11947,40.950659, -72.571053
11948,40.963640, -72.553489
11949,40.866503, -72.804643
11950,40.808032, -72.847010
11951,40.763164, -72.830344
11952,41.001648, -72.547599
11953,40.892505, -72.951172
11954,41.047565, -71.946386
11955,40.809133, -72.816101
11956,40.969049, -72.462175
11957,41.192201, -72.148968
11958,41.039067, -72.464419
11959,40.822586, -72.601345
11960,40.810615, -72.706062
11961,40.905139, -72.888349
11962,40.930895, -72.268719
11963,40.993155, -72.319664
11964,41.055827, -72.319034
11965,41.096081, -72.288400
11967,40.794778, -72.875477
11968,40.905925, -72.415662
11970,40.938952, -72.577539
11971,41.064037, -72.430926
11972,40.847825, -72.702889
11973,40.867173, -72.882123
11975,40.941107, -72.244466
11976,40.922393, -72.350704
11977,40.827467, -72.678983
11978,40.826323, -72.649008
11980,40.831296, -72.923154
